,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
70,0.036546297,0.5563,0.44370002,0.036546297,-0.49999177,-0.49999166
71,0.036561113,0.55626667,0.44373333,0.036561113,-0.49999166,-0.49999154
72,0.036575925,0.5562,0.44379997,0.036575925,-0.49999154,-0.49999142
73,0.03659259,0.5560667,0.4439333,0.03659259,-0.49999142,-0.4999913
74,0.036625925,0.5559833,0.4440167,0.036625925,-0.4999913,-0.49999118
75,0.03664074,0.55588335,0.44411665,0.03664074,-0.49999118,-0.49999106
76,0.036655556,0.55581665,0.44418335,0.036655556,-0.49999106,-0.49999094
77,0.036664814,0.55576664,0.44423336,0.036664814,-0.49999094,-0.49999082
78,0.03667963,0.5557,0.4443,0.03667963,-0.49999082,-0.4999907
79,0.03668889,0.5556667,0.4443333,0.03668889,-0.4999907,-0.49999058
80,0.03671111,0.55565,0.44435,0.03671111,-0.49999058,-0.49999046
81,0.036733333,0.55556667,0.44443333,0.036733333,-0.49999046,-0.49999034
82,0.03675,0.55548334,0.44451666,0.03675,-0.49999034,-0.49999022
83,0.036764815,0.5553167,0.4446833,0.036764815,-0.49999022,-0.4999901
84,0.036783334,0.5552833,0.4447167,0.036783334,-0.4999901,-0.49999
85,0.036805555,0.55521667,0.44478333,0.036805555,-0.49999,-0.49998987
86,0.036827777,0.55516666,0.44483334,0.036827777,-0.49998987,-0.49998975
87,0.036835186,0.5551,0.44489998,0.036835186,-0.49998975,-0.49998963
88,0.036846295,0.55505,0.44494998,0.036846295,-0.49998963,-0.4999895
89,0.036862962,0.5550167,0.4449833,0.036862962,-0.4999895,-0.4999894
90,0.036872223,0.555,0.445,0.036872223,-0.4999894,-0.49998927
91,0.03688333,0.55495,0.44505,0.03688333,-0.49998927,-0.49998915
92,0.03688889,0.5549167,0.44508332,0.03688889,-0.49998915,-0.49998903
93,0.036894444,0.5548667,0.44513333,0.036894444,-0.49998903,-0.4999889
94,0.03690741,0.55485,0.44515002,0.03690741,-0.4999889,-0.4999888
95,0.03692778,0.55478334,0.44521666,0.03692778,-0.4999888,-0.49998868
96,0.036935184,0.55466664,0.44533336,0.036935184,-0.49998868,-0.49998856
97,0.03695185,0.5546167,0.4453833,0.03695185,-0.49998856,-0.49998844
98,0.036968518,0.55455,0.44545,0.036968518,-0.49998844,-0.49998832
99,0.03699074,0.5545,0.44550002,0.03699074,-0.49998832,-0.4999882
100,0.037009258,0.55446666,0.44553334,0.037009258,-0.4999882,-0.49998808
101,0.037014816,0.55441666,0.44558334,0.037014816,-0.49998808,-0.49998796
102,0.037035186,0.55438334,0.44561666,0.037035186,-0.49998796,-0.49998784
103,0.037044443,0.55436665,0.44563335,0.037044443,-0.49998784,-0.49998772
